T,schedule,chunk,N,K,max_iter,eps,iterations,ms,sse,monotonic,speedup
1,static,0,10000,4,50,0.0001,3,0.233012,9930.137001378,1,1.0
1,static,0,10000,4,50,0.0001,3,0.209288,9930.137001378,1,1.113356
1,static,1,10000,4,50,0.0001,3,0.204320,9930.137001378,1,1.140427
1,static,8,10000,4,50,0.0001,3,0.257409,9930.137001378,1,0.905221
1,static,32,10000,4,50,0.0001,3,0.186956,9930.137001378,1,1.246347
1,dynamic,0,10000,4,50,0.0001,3,0.913717,9930.137001378,1,0.255016
1,dynamic,1,10000,4,50,0.0001,3,1.193817,9930.137001378,1,0.195182
1,dynamic,8,10000,4,50,0.0001,3,0.233247,9930.137001378,1,0.998992
1,dynamic,32,10000,4,50,0.0001,3,0.301764,9930.137001378,1,0.772166
2,static,0,10000,4,50,0.0001,3,0.715975,9930.137001378,1,0.325447
2,static,1,10000,4,50,0.0001,3,0.795371,9930.137001378,1,0.292960
2,static,8,10000,4,50,0.0001,3,0.976737,9930.137001378,1,0.238562
2,static,32,10000,4,50,0.0001,3,0.739323,9930.137001378,1,0.315169
2,dynamic,0,10000,4,50,0.0001,3,2.883808,9930.137001378,1,0.080800
2,dynamic,1,10000,4,50,0.0001,3,3.375039,9930.137001378,0,0.069040
2,dynamic,8,10000,4,50,0.0001,3,0.595087,9930.137001378,1,0.391560
2,dynamic,32,10000,4,50,0.0001,3,0.829323,9930.137001378,1,0.280967
4,static,0,10000,4,50,0.0001,3,0.834205,9930.137001378,1,0.279322
4,static,1,10000,4,50,0.0001,3,1.181718,9930.137001377,1,0.197181
4,static,8,10000,4,50,0.0001,3,0.751162,9930.137001377,1,0.310202
4,static,32,10000,4,50,0.0001,3,0.701382,9930.137001377,1,0.332218
4,dynamic,0,10000,4,50,0.0001,3,4.181834,9930.137001377,1,0.055720
4,dynamic,1,10000,4,50,0.0001,3,2.368959,9930.137001378,0,0.098361
4,dynamic,8,10000,4,50,0.0001,3,0.795100,9930.137001377,1,0.293060
4,dynamic,32,10000,4,50,0.0001,3,0.754907,9930.137001378,0,0.308663
8,static,0,10000,4,50,0.0001,3,10.236496,9930.137001378,1,0.022763
8,static,1,10000,4,50,0.0001,3,1.306594,9930.137001378,1,0.178335
8,static,8,10000,4,50,0.0001,3,7.481087,9930.137001378,1,0.031147
8,static,32,10000,4,50,0.0001,3,0.798568,9930.137001378,1,0.291787
8,dynamic,0,10000,4,50,0.0001,3,12.307093,9930.137001378,0,0.018933
8,dynamic,1,10000,4,50,0.0001,3,3.238994,9930.137001378,0,0.071940
8,dynamic,8,10000,4,50,0.0001,3,11.385171,9930.137001377,1,0.020466
8,dynamic,32,10000,4,50,0.0001,3,0.707071,9930.137001378,0,0.329545
16,static,0,10000,4,50,0.0001,3,3.502935,9930.137001378,0,0.066519
16,static,1,10000,4,50,0.0001,3,3.516714,9930.137001378,1,0.066258
16,static,8,10000,4,50,0.0001,3,4.004536,9930.137001378,1,0.058187
16,static,32,10000,4,50,0.0001,3,5.231101,9930.137001378,1,0.044544
16,dynamic,0,10000,4,50,0.0001,3,5.803487,9930.137001378,0,0.040150
16,dynamic,1,10000,4,50,0.0001,3,5.867868,9930.137001377,1,0.039710
16,dynamic,8,10000,4,50,0.0001,3,3.768921,9930.137001378,0,0.061825
16,dynamic,32,10000,4,50,0.0001,3,4.003212,9930.137001378,0,0.058206
