T,schedule,chunk,N,K,max_iter,eps,iterations,ms,sse,monotonic,speedup,points_per_sec
1,static,32,10000,4,50,0.0001,3,0.143023,9930.137001378,1,1.000000,69918824.245051
2,static,0,10000,4,50,0.0001,3,0.483806,9930.137001378,1,0.295621,20669441.883730
2,static,1,10000,4,50,0.0001,3,0.752306,9930.137001378,1,0.190113,13292463.439079
2,static,8,10000,4,50,0.0001,3,0.518630,9930.137001378,1,0.275771,19281568.748433
2,static,32,10000,4,50,0.0001,3,0.690800,9930.137001378,1,0.207040,14475969.889983
2,dynamic,1,10000,4,50,0.0001,3,2.616093,9930.137001378,1,0.054670,3822494.078001
2,dynamic,1,10000,4,50,0.0001,3,3.626321,9930.137001378,1,0.039440,2757615.776430
2,dynamic,8,10000,4,50,0.0001,3,1.201721,9930.137001378,0,0.119015,8321399.060181
2,dynamic,32,10000,4,50,0.0001,3,0.528910,9930.137001378,1,0.270411,18906808.341684
4,static,0,10000,4,50,0.0001,3,6.463876,9930.137001378,1,0.022127,1547059.380471
4,static,1,10000,4,50,0.0001,3,4.955263,9930.137001377,1,0.028863,2018056.357453
4,static,8,10000,4,50,0.0001,3,0.878251,9930.137001377,1,0.162850,11386266.568441
4,static,32,10000,4,50,0.0001,3,0.850929,9930.137001377,1,0.168079,11751861.788704
4,dynamic,1,10000,4,50,0.0001,3,4.425201,9930.137001377,1,0.032320,2259784.357818
4,dynamic,1,10000,4,50,0.0001,3,5.311085,9930.137001378,0,0.026929,1882854.444996
4,dynamic,8,10000,4,50,0.0001,3,1.889494,9930.137001377,1,0.075694,5292422.204040
4,dynamic,32,10000,4,50,0.0001,3,2.968705,9930.137001377,1,0.048177,3368472.111577
8,static,0,10000,4,50,0.0001,3,45.280736,9930.137001378,1,0.003159,220844.466839
8,static,1,10000,4,50,0.0001,3,29.455030,9930.137001378,1,0.004856,339500.587845
8,static,8,10000,4,50,0.0001,3,19.166846,9930.137001378,1,0.007462,521734.248817
8,static,32,10000,4,50,0.0001,3,17.349406,9930.137001378,1,0.008244,576388.609501
8,dynamic,1,10000,4,50,0.0001,3,16.372565,9930.137001377,1,0.008736,610777.846965
8,dynamic,1,10000,4,50,0.0001,3,20.336710,9930.137001378,0,0.007033,491721.620655
8,dynamic,8,10000,4,50,0.0001,3,15.562790,9930.137001378,1,0.009190,642558.307347
8,dynamic,32,10000,4,50,0.0001,3,27.412996,9930.137001378,1,0.005217,364790.481128
